stop_id,stop_name,stop_lat,stop_lon
266083,Ghidighici-Vin (Vile-2),47.0807893,28.7695129
285472,str. V.Costin,47.09267146538426,28.760426044464115
266788,Teatrul Național de Operă și Balet „Maria Bieșu”,47.0268063,28.8293435
266257,Parcul Alunelul,47.0381188,28.8052532
266041,Feroviarilor (Vile-1),47.073245,28.7706533
266557,str. Ciuflea,47.0135272,28.8471549
266843,"magazinul""UNIC""",47.0163961,28.8448429
266844,"magazinul ""UNIC""",47.0168053,28.8438959
266857,Universitatea Tehnică,47.0312278,28.8227457
266031,Fabrica de Asfalt,47.0666086,28.7786339
285477,Primaria Ghidighici,47.08921639680099,28.76182615756989
266650,str. Melestiu,47.0057995,28.8476247
266745,str. Valea Trandafirilor,47.0076555,28.849358
266558,str. Ciuflea,47.0124314,28.8459592
266533,str. Armenească,47.0195775,28.8397255
266854,Universitatea de Stat de Medicină și Farmacie,47.0333988,28.8190197
265787,"Asociația ""Zorile""",47.0390804,28.8035038
265799,Bariera Sculeni,47.0424249,28.7948039
265804,"s.a.""Drumuri-Chisinau""",47.0576446,28.7826813
285473,str. V.Costin,47.092664161035934,28.76019537448883
266302,Piața Mării Adunări Naționale,47.0231458,28.834813
265798,Bariera Sculeni,47.0428973,28.7941984
266265,Parcul „La Izvor“,47.0442382,28.7887317
266042,Feroviarilor (Vile-1),47.0729065,28.7711303
266297,Piața Dmitrie Cantemir,47.0379329,28.810016
266906,Şcoala Medie pe Schimburi nr. 3,47.0024468,28.8904762
286716,Şcoala Medie pe Schimburi nr. 3,47.00287292330748,28.889322280883793
265923,"str. Negresteni (Centrul ""Progres"")",47.0148863,28.8737847
286722,scoala Bubueci,46.98122587344814,28.93408298492432
265779,"Asociaţia ""Tutun-CTC""",47.0223274,28.8671697
266138,Keramin,47.0116154,28.8765952
286717,"Asociația ""Beton Armat""",47.00563488922596,28.88585150241852
265956,Circul,47.036029,28.8494001
265924,"str. Negresteni (Centrul ""Progres"")",47.0147515,28.8736119
266638,str. Kiev,47.0402243,28.8599565
266587,str. Florilor,47.0602101,28.8630883
266907,"Asociaţia ""Efes-Vitanta""",46.9989681,28.8953611
266621,"Asociatia ""MACON""",46.9949938,28.905795
286720,str. Grigore Vieru,46.984062150688786,28.931207656860355
265858,str. Grigore Vieru,46.9842823,28.9312775
266646,str. Matei Basarab,47.0549227,28.8651157
266647,str. Matei Basarab,47.0554695,28.8658568
266137,Keramin,47.0121854,28.8763751
265783,"Asociația ""Agromașina""",47.0086455,28.8802687
286718,str. Uzinelor 188,46.99059416522705,28.912947177886966
286719,str. Uzinelor 188,46.99072223596437,28.913161754608158
266524,bd. Moscova,47.0454792,28.8620731
266523,str. Bogdan Voevod,47.0432207,28.8607499
286865,sat. Goian,47.132936059267244,28.906928300857544
286868,cotitura Spre Fauresti,47.13592119430214,28.90935838222504
265955,Circ,47.0366359,28.8497218
266664,str. Miron Costin,47.0491288,28.8630222
286866,sat. Goian,47.13338493501928,28.90688002109528
286870,sat. Fauresti Penitenciar 10,47.137723871957895,28.899541497230533
265768,"Asociatia ""Vitanta""",46.9967548,28.8997748
266639,str. Kiev,47.039707,28.8593514
266725,bd. Moscovei,47.0586327,28.8666919
266455,Romplaneta,46.9622134,28.834489
266772,Strada Vasile Alecsandri,47.024203,28.8426309
266568,str. Constantin Tanase,47.0279511,28.8401882
286867,cotitura Spre Fauresti,47.13562925694814,28.910039663314823
286869,sat. Fauresti Penitenciar 10,47.13758885570821,28.899772167205814
